url,clicks_90d,impressions_90d,verdict
https://www.juicydesigns.co.za/services/web-design-pretoria/,511,1974,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/digital-marketing-pretoria/,21,1435,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/social-media-marketing-centurion/,6,869,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/graphic-design-durban/,2,29,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/instagram-advertising-cape-town/,2,14,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/pr-communications-pretoria/,2,14,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/social-media-marketing-johannesburg/,1,540,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/services/seo-pretoria/,0,759,"KEEP — rewrite with unique local proof (case study, client names, local specifics)"
https://www.juicydesigns.co.za/glossary/,-,-,KEEP
https://www.juicydesigns.co.za/glossary/brand-architecture/,24 (brand-architecture),133,KEEP
