url,clicks_90d,impressions_90d,verdict
https://www.juicydesigns.co.za/services/web-design-vereeniging/,0,189,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/ai-seo-cape-town/,0,185,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/digital-marketing-randburg/,0,180,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/google-ads-pretoria/,0,176,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/branding-cape-town/,1,170,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/web-design-roodepoort/,0,158,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/digital-marketing-midrand/,0,144,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/social-media-marketing-vereeniging/,1,137,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/digital-marketing-vereeniging/,1,126,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/branding-pretoria/,1,119,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/website-development-midrand/,0,109,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/digital-marketing-roodepoort/,0,102,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/facebook-advertising-cape-town/,0,102,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/seo-midrand/,0,102,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/ai-seo-johannesburg/,0,100,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/graphic-design-krugersdorp/,1,60,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/digital-marketing-boksburg/,1,51,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/branding-centurion/,1,35,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/influencer-marketing-cape-town/,1,28,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/aeo-optimisation-cape-town/,1,23,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/branding-boksburg/,1,22,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/pr-communications-johannesburg/,1,17,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/email-marketing-durban/,1,14,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/meta-advertising-durban/,1,9,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/programmatic-advertising-johannesburg/,1,7,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/youtube-advertising-johannesburg/,1,7,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/social-media-management-cape-town/,1,6,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/influencer-marketing-durban/,1,5,"REVIEW — keep only if rewritten by end of August, else noindex"
https://www.juicydesigns.co.za/services/paid-social-advertising-pretoria/,1,3,"REVIEW — keep only if rewritten by end of August, else noindex"
